OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
IRIDIUM 33,1997-051C,24946,PAY,-,US,1997-09-14,TYMSC,,100.34,86.39,781,768,2.5190,,EA,ORB
CELESTIS-02 & TAURUS R/B,1998-007D,25160,PAY,+,US,1998-02-10,AFWTR,,101.23,108.01,862,772,3.4524,,EA,ORB
ISS (ZARYA),1998-067A,25544,PAY,+,ISS,1998-11-20,TYMSC,,92.96,51.63,423,416,399.0524,,EA,ORB
CORIOLIS,2003-001A,27640,PAY,+,US,2003-01-06,AFWTR,,101.41,98.72,835,816,5.0821,,EA,ORB
FENGYUN 1C DEB,1999-025LY,29998,DEB,,PRC,1999-05-10,TAISC,,100.73,99.29,796,790,0.0929,,EA,ORB
FENGYUN 1C DEB,1999-025MG,30007,DEB,,PRC,1999-05-10,TAISC,,100.90,99.17,846,756,0.0601,,EA,ORB
FENGYUN 1C DEB,1999-025UG,30175,DEB,,PRC,1999-05-10,TAISC,,104.04,99.35,1056,843,0.0385,,EA,ORB
FENGYUN 1C DEB,1999-025WR,30232,DEB,,PRC,1999-05-10,TAISC,,98.26,98.67,767,583,0.0400,,EA,ORB
FENGYUN 1C DEB,1999-025ZB,30290,DEB,,PRC,1999-05-10,TAISC,,96.13,102.61,583,564,0.0173,,EA,ORB
FENGYUN 1C DEB,1999-025AJD,30515,DEB,,PRC,1999-05-10,TAISC,,105.53,98.48,1385,653,0.0184,,EA,ORB
FENGYUN 1C DEB,1999-025ALP,30573,DEB,,PRC,1999-05-10,TAISC,,101.74,99.21,904,778,0.0168,,EA,ORB
FENGYUN 1C DEB,1999-025ARP,30705,DEB,,PRC,1999-05-10,TAISC,,104.15,102.19,1100,810,0.0138,,EA,ORB
FENGYUN 1C DEB,1999-025AZK,30921,DEB,,PRC,1999-05-10,TAISC,,100.35,98.84,786,764,0.0380,,EA,ORB
FENGYUN 1C DEB,1999-025BCL,30994,DEB,,PRC,1999-05-10,TAISC,,101.99,98.70,866,839,0.0074,,EA,ORB
FENGYUN 1C DEB,1999-025BDZ,31031,DEB,,PRC,1999-05-10,TAISC,,101.31,99.07,841,800,0.0089,,EA,ORB
FENGYUN 1C DEB,1999-025BFP,31069,DEB,,PRC,1999-05-10,TAISC,,98.71,99.11,768,626,0.0172,,EA,ORB
FENGYUN 1C DEB,1999-025BGA,31080,DEB,,PRC,1999-05-10,TAISC,,101.00,99.12,854,758,0.0114,,EA,ORB
SAUDICOMSAT 4,2007-012L,31127,PAY,+,SAUD,2007-04-17,TYMSC,,98.32,98.41,723,634,0.0701,,EA,ORB
FENGYUN 1C DEB,1999-025BJW,31192,DEB,,PRC,1999-05-10,TAISC,,101.30,98.58,1005,635,0.0138,,EA,ORB
FENGYUN 1C DEB,1999-025BMW,31264,DEB,,PRC,1999-05-10,TAISC,,101.47,99.10,829,827,0.0163,,EA,ORB
FENGYUN 1C DEB,1999-025BNB,31269,DEB,,PRC,1999-05-10,TAISC,,99.52,98.15,900,572,0.0162,,EA,ORB
FENGYUN 1C DEB,1999-025BWS,31503,DEB,,PRC,1999-05-10,TAISC,,101.16,100.08,848,779,0.0120,,EA,ORB
FENGYUN 1C DEB,1999-025BXC,31513,DEB,,PRC,1999-05-10,TAISC,,100.34,98.86,794,755,0.0124,,EA,ORB
FENGYUN 1C DEB,1999-025BXE,31515,DEB,,PRC,1999-05-10,TAISC,,102.03,98.89,894,816,0.0149,,EA,ORB
FENGYUN 1C DEB,1999-025BXY,31533,DEB,,PRC,1999-05-10,TAISC,,100.84,98.93,844,752,0.0107,,EA,ORB
FENGYUN 1C DEB,1999-025BYR,31550,DEB,,PRC,1999-05-10,TAISC,,99.91,98.32,889,620,0.0079,,EA,ORB
FENGYUN 1C DEB,1999-025CEF,31732,DEB,,PRC,1999-05-10,TAISC,,101.94,98.55,880,822,0.0154,,EA,ORB
FENGYUN 1C DEB,1999-025CFU,31769,DEB,,PRC,1999-05-10,TAISC,,99.89,98.43,801,706,0.0137,,EA,ORB
FENGYUN 1C DEB,1999-025CFX,31772,DEB,,PRC,1999-05-10,TAISC,,101.93,98.47,949,751,0.0072,,EA,ORB
FENGYUN 1C DEB,1999-025CHB,31813,DEB,,PRC,1999-05-10,TAISC,,99.25,99.43,818,628,0.0171,,EA,ORB
FENGYUN 1C DEB,1999-025CMW,31945,DEB,,PRC,1999-05-10,TAISC,,101.24,98.95,860,775,0.0123,,EA,ORB
FENGYUN 1C DEB,1999-025CSB,32133,DEB,,PRC,1999-05-10,TAISC,,101.53,98.44,857,805,0.0132,,EA,ORB
FENGYUN 1C DEB,1999-025DDP,33630,DEB,,PRC,1999-05-10,TAISC,,101.54,98.63,928,735,0.0062,,EA,ORB
IRIDIUM 33 DEB,1997-051P,33776,DEB,,US,1997-09-14,TYMSC,,100.10,86.41,774,752,0.5166,,EA,ORB
COSMOS 2251 DEB,1993-036BL,33819,DEB,,CIS,1993-06-16,PLMSC,,100.48,74.18,845,718,0.0946,,EA,ORB
COSMOS 2251 DEB,1993-036CJ,33841,DEB,,CIS,1993-06-16,PLMSC,,100.13,74.04,779,750,0.0507,,EA,ORB
IRIDIUM 33 DEB,1997-051BG,33887,DEB,,US,1997-09-14,TYMSC,,100.18,86.30,773,761,0.0620,,EA,ORB
COSMOS 2251 DEB,1993-036EX,33942,DEB,,CIS,1993-06-16,PLMSC,,100.12,74.04,779,750,0.1861,,EA,ORB
COSMOS 2251 DEB,1993-036FG,33973,DEB,,CIS,1993-06-16,PLMSC,,99.61,74.01,772,708,0.0543,,EA,ORB
COSMOS 2251 DEB,1993-036HJ,34023,DEB,,CIS,1993-06-16,PLMSC,,99.93,74.02,768,742,0.0310,,EA,ORB
COSMOS 2251 DEB,1993-036HX,34036,DEB,,CIS,1993-06-16,PLMSC,,94.42,74.00,501,479,0.0161,,EA,ORB
COSMOS 2251 DEB,1993-036KZ,34128,DEB,,CIS,1993-06-16,PLMSC,,94.69,73.99,520,487,0.0260,,EA,ORB
IRIDIUM 33 DEB,1997-051LJ,34765,DEB,,US,1997-09-14,TYMSC,,99.92,86.33,768,742,0.0166,,EA,ORB
COSMOS 2251 DEB,1993-036ADF,34910,DEB,,CIS,1993-06-16,PLMSC,,107.62,73.88,1466,767,0.0151,,EA,ORB
FENGYUN 1C DEB,1999-025DPP,35207,DEB,,PRC,1999-05-10,TAISC,,98.65,98.70,732,657,0.0077,,EA,ORB
FENGYUN 1C DEB,1999-025DQR,35233,DEB,,PRC,1999-05-10,TAISC,,99.65,98.78,771,713,0.0058,,EA,ORB
COSMOS 2251 DEB,1993-036AML,35593,DEB,,CIS,1993-06-16,PLMSC,,100.94,74.09,876,730,0.0114,,EA,ORB
COSMOS 2251 DEB,1993-036ANH,35614,DEB,,CIS,1993-06-16,PLMSC,,98.00,73.96,715,611,0.0206,,EA,ORB
COSMOS 2251 DEB,1993-036APR,35674,DEB,,CIS,1993-06-16,PLMSC,,98.84,74.06,768,638,0.0126,,EA,ORB
OPTUS D3,2009-044B,35756,PAY,+,AUS,2009-08-21,FRGUI,,1436.08,0.83,35804,35769,6.3096,,EA,ORB
COSMOS 2251 DEB,1993-036ATW,35883,DEB,,CIS,1993-06-16,PLMSC,,99.24,74.02,782,663,0.0059,,EA,ORB
